Designator,Footprint,Quantity,Value,LCSC Part #
"BD1, BD10, BD11, BD12, BD13, BD14, BD15, BD16, BD17, BD18, BD19, BD2, BD20, BD21, BD22, BD23, BD24, BD25, BD26, BD27, BD28, BD29, BD3, BD4, BD5, BD6, BD7, BD8, BD9",LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount Reversible,29,SK6182,
"C1, C2",0402,2,10u,
"C10, C12, C13, C14, C17, C18, C4, C5, C6, C7, C8, C9",0402,12,0.1u,
"C11, C3",0402,2,1u,
"C15, C16",0402,2,15p,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D4, D5, D6, D7, D8, D9",D_SOD-123 Reversible,29,KB_D,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
J2,PinHeader_1x03_P2.54mm_Vertical,1,DIAG_HDR,
J3,Jack_3.5mm_KoreanHropartsElec_PJ-320D-4A_Horizontal,1,AudioJack4,
J5,PinHeader_1x05_P2.54mm_Vertical,1,DSP_HDR,
PSW1,SW_SPST_SKQG_WithStem,1,BOOTSEL,
PSW2,SW_SPST_SKQG_WithStem,1,RST,
"R1, R2, R5",0402,3,5.1k,
"R3, R4",0402,2,27,
R6,0402,1,1k,
R7,0402,1,10k,
"R8, R9",0402,2,4.7k,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW4, SW5, SW6, SW7, SW8, SW9",SW_Hotswap_Kailh_Choc_V1V2_1.00u Reversible,29,KB_SW,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,
U3,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
U4,QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm,1,MCP23017x-x-ML,
Y1,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,1,Crystal_GND24,
